p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0540888691566493e-15,0.40898274030513604,0.395,0.223,1.9369937059622586e-11,5,PLAUR
1.1958579930520238e-15,0.6987181781625904,0.343,0.19,2.197508648032399e-11,5,SERTAD2
2.0357624363597305e-15,0.6200254870799186,0.362,0.207,3.740917053054641e-11,5,CLDND1
2.2129825777739286e-15,0.7523923307537107,0.335,0.189,4.0665767849173716e-11,5,RSL1D1
2.485955028297957e-15,0.4150932077408047,0.624,0.423,4.568190960000325e-11,5,BTG2
2.495516088529519e-15,0.47956231902865554,0.62,0.43,4.585760364281844e-11,5,ZFAND5
3.099228094174934e-15,0.3115559122806033,0.975,0.8,5.695141545855859e-11,5,CTGF
4.30071523234317e-14,0.4136622733329465,0.428,0.264,7.90299431095381e-10,5,S100A11
5.2200348387747565e-14,0.4315552525163948,0.502,0.325,9.592336019732492e-10,5,VAPA
8.216296310996562e-14,0.5256541831356905,0.304,0.165,1.5098266101087283e-9,5,RSRP1
1.3450292821185549e-13,0.5348948005779359,0.355,0.21,2.4716258088210565e-9,5,SDCBP
1.6505279757449514e-13,0.515802455834756,0.457,0.291,3.0330102082289227e-9,5,PIM1
1.8277320166368853e-13,0.4322121297536723,0.349,0.205,3.3586403537719403e-9,5,ARF6
2.2843110385324695e-13,0.6393198299642227,0.281,0.153,4.197649964407266e-9,5,CHORDC1
2.4940605567314385e-13,0.46195060517475595,0.618,0.439,4.583085679049691e-9,5,HNRNPC
3.0205993347592474e-13,0.6640576991427417,0.269,0.145,5.550653337553593e-9,5,SRSF1
3.0756098419562234e-13,0.2670138539995843,0.589,0.378,5.651740645578756e-9,5,FHL2
3.4333509897332354e-13,0.5374313432229219,0.521,0.348,6.309125778733794e-9,5,RYBP
4.403012213268938e-13,0.5534339280938663,0.388,0.239,8.090975243103e-9,5,ETF1
4.4980611022878353e-13,0.3914545434001617,0.667,0.486,8.265637081564126e-9,5,HSPD1
5.497319802890939e-13,0.34743098310142306,0.674,0.488,1.010187486979239e-8,5,RPS16
7.943653045600741e-13,0.5579256743996726,0.254,0.138,1.4597256836595922e-8,5,CCT5
1.013761086792418e-12,0.2532896441928274,0.492,0.319,1.8628873730897474e-8,5,PTGES3
1.244974947833044e-12,0.7253632505915659,0.55,0.379,2.2877659641380017e-8,5,ZFP36
1.2646426727822249e-12,0.5672333051754952,0.411,0.262,2.3239073755046162e-8,5,MTHFD2
1.3169905915318818e-12,0.3366393452395986,0.773,0.564,2.420101910998986e-8,5,BTG1
1.4638121158242228e-12,0.3942637516791003,0.839,0.64,2.6899011440385917e-8,5,DDX5
1.7938490357932801e-12,0.5242123941969334,0.403,0.255,3.2963769881737316e-8,5,HMGB2
2.270631464223884e-12,0.6594667145201185,0.295,0.169,4.1725123786578096e-8,5,SLC25A36
2.346524209878176e-12,0.317643968988488,0.597,0.415,4.311972888072136e-8,5,RPL14
2.5079927518203645e-12,0.5495373329079795,0.289,0.164,4.608687480745102e-8,5,PRPF38B
2.6183174242059654e-12,0.3502632388207192,0.506,0.33,4.811420098720882e-8,5,KLHL21
3.3857294471738664e-12,0.39908991650011805,0.657,0.474,6.221616432126696e-8,5,SERPINA1
4.331627008651565e-12,0.6244437808614127,0.653,0.489,7.959797791098116e-8,5,TSC22D1
6.366838686052025e-12,0.3373859996241757,0.669,0.498,1.1699702769489202e-7,5,MT-ND4L
7.401280346035566e-12,0.4609393150112757,0.477,0.324,1.3600592763874956e-7,5,HNRNPH1
8.270169693889725e-12,0.3704410106486462,0.368,0.224,1.519726382949176e-7,5,ZNF90
1.355121407366698e-11,0.3832166043850256,0.413,0.264,2.490171098177044e-7,5,G3BP1
1.8792451568216135e-11,0.31762383266233885,0.653,0.476,3.453300900175397e-7,5,SFPQ
1.9592876447160526e-11,0.39427509092342405,0.428,0.279,3.600386975930218e-7,5,SRSF11
2.696789099848165e-11,0.3465158953600772,0.287,0.167,4.955619649880988e-7,5,CDV3
3.284067528338417e-11,0.3415879835364626,0.382,0.234,6.034802490074675e-7,5,PLA2G2A
4.1851518914611206e-11,0.5304737802843034,0.295,0.172,7.690635115748955e-7,5,LBH
4.634833511877061e-11,0.34868552714281886,0.461,0.308,8.516970061425287e-7,5,MBNL1
6.142433082329636e-11,0.29525659433120843,0.802,0.632,1.128733503208894e-6,5,NAP1L1
6.665398248463121e-11,0.4897444373323796,0.426,0.284,1.224833582137583e-6,5,FGF2
6.748838743550576e-11,0.5095259568835026,0.273,0.153,1.2401666075148538e-6,5,SLC7A5
8.813681304553088e-11,0.3961224975010815,0.384,0.247,1.6196020765246755e-6,5,SF1
1.0788296233381663e-10,0.3507178324380975,0.839,0.755,1.9824573158462142e-6,5,MT-CO3
1.4765582436695335e-10,0.26633408099937883,0.421,0.275,2.713323428567135e-6,5,CTSL
1.5551874081536694e-10,0.4869242619901111,0.374,0.248,2.857812381223183e-6,5,METAP2
1.7016522989498794e-10,0.4922404674960106,0.293,0.173,3.1269562645502983e-6,5,PPP1R15A
2.789515878699084e-10,0.2501808995550354,0.331,0.201,5.126014378697437e-6,5,PEA15
2.794832772576066e-10,0.3035010668430749,0.576,0.425,5.1357847028857786e-6,5,RPS3
3.018723004768151e-10,0.37271795422184056,0.31,0.189,5.547205393561954e-6,5,TOR1AIP1
3.133085264768124e-10,0.4444136564416168,0.258,0.147,5.757357482537905e-6,5,DNTTIP2
3.3179469338362335e-10,0.3951655217235692,0.333,0.209,6.0970592856174625e-6,5,LUC7L3
4.5032226802867747e-10,0.32059267030824157,0.477,0.322,8.275121997294977e-6,5,AMD1
4.826326255116898e-10,0.2704904697087107,0.494,0.336,8.868857126402813e-6,5,RPL36AL
5.253624918119538e-10,0.4811546862072884,0.372,0.239,9.654061149536463e-6,5,SLC25A5
5.715839650095045e-10,0.2542527573433726,0.798,0.63,1.0503426941014654e-5,5,RPL10A
5.962283249189249e-10,0.3221604654446182,0.498,0.343,1.0956291698710164e-5,5,PPP3CA
6.860777276568985e-10,0.4341481727897428,0.264,0.154,1.2607364323423167e-5,5,PNP
7.646187122394364e-10,0.3738256712032224,0.483,0.34,1.4050633456111885e-5,5,KLF6
7.914492282854178e-10,0.4409271867671145,0.405,0.277,1.4543671018972838e-5,5,PRDX6
8.968259080400131e-10,0.731345794610247,0.324,0.21,1.648007288614328e-5,5,RHOBTB3
9.467795701562464e-10,0.5348481342904579,0.308,0.19,1.7398021381191185e-5,5,HSPE1
1.0293835869426469e-9,0.36529630901249055,0.68,0.521,1.891595279365808e-5,5,MT-ND6
1.1017553124477868e-9,0.30613956970361667,0.463,0.311,2.024585562154053e-5,5,GPRC5A
1.118483057401744e-9,0.31572634424114443,0.289,0.174,2.0553244662814447e-5,5,SMAD7
1.1765125835265096e-9,0.28121957376231554,0.647,0.484,2.161959523488314e-5,5,RPL13
1.4085854830828315e-9,0.37688424318966735,0.287,0.173,2.588416683713011e-5,5,ARL8B
1.661384705304458e-9,0.2764597644616624,0.562,0.399,3.052960534467472e-5,5,UAP1
