p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.525114396619533e-9,2.4260672615999397,0.773,0.499,8.315350215228054e-5,7,COL2A1
1.0572251181646914e-15,2.0793121280256206,0.773,0.386,1.942756877139437e-11,7,ZFP36
6.124337988401131e-12,2.0641442904487306,0.364,0.104,1.1254083487485918e-7,7,CFH
2.5964762771133837e-5,1.9716628363390079,0.258,0.107,0.47712848068235536,7,CDKN1C
6.221287369252387e-8,1.928912323122069,0.439,0.201,0.0011432237669738187,7,SLC14A1
1.6349601476007521e-10,1.8865050406381552,0.712,0.415,3.004402767231142e-6,7,COL11A1
0,16.23464678898727,0.627,0,0,8,EMCN
0,15.1994952498966,0.392,0,0,8,CLEC14A
0,15.124011602212478,0.353,0,0,8,ADGRL4
0,14.719968630236913,0.255,0,0,8,CXorf36
0,14.676291805520986,0.275,0,0,8,MMRN1
0,14.28577322707209,0.275,0,0,8,KDR
0,13.807780068627382,0.255,0,0,8,SELE
0,13.195109200194082,0.941,0.001,0,8,PECAM1
0,11.235803987697158,0.569,0,0,8,SHANK3
0,11.1563924267777,0.275,0,0,8,DNASE1L3
0,10.715092699368851,0.353,0,0,8,LDB2
0,9.982826763607132,0.333,0.001,0,8,ESAM
0,9.811098206382104,0.569,0.001,0,8,RNASE1
0,9.793784292065379,0.373,0,0,8,CDH5
0,9.777659697956818,0.51,0.001,0,8,CALCRL
