source,target,value,group,metric
Ht-NPCs,Ht-NPCs,1.0385676579053236e-5,severe_minus_mild,weight_delta
Fibro-NPCs,Ht-NPCs,4.170792249430155e-4,severe_minus_mild,weight_delta
Fibro-reg NPCs,Ht-NPCs,1.807358903922648e-4,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Ht-NPCs,5.184865061325106e-5,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Fibro-NPCs,-0.0025927742431055504,severe_minus_mild,weight_delta
Hom-NPCs,Fibro-NPCs,-5.526210127550389e-4,severe_minus_mild,weight_delta
Eff-NPCs,Fibro-NPCs,-6.145684655703822e-4,severe_minus_mild,weight_delta
Ht-NPCs,Fibro-NPCs,-6.1872080720949815e-6,severe_minus_mild,weight_delta
Fibro-NPCs,Fibro-NPCs,0.0015450523194588234,severe_minus_mild,weight_delta
Fibro-reg NPCs,Fibro-NPCs,8.63019339117387e-4,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Fibro-NPCs,-0.0018047727482550118,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Fibro-reg NPCs,0.0034120985759413473,severe_minus_mild,weight_delta
Hom-NPCs,Fibro-reg NPCs,1.8963421822493047e-4,severe_minus_mild,weight_delta
Eff-NPCs,Fibro-reg NPCs,-7.183178715743674e-5,severe_minus_mild,weight_delta
Ht-NPCs,Fibro-reg NPCs,7.325498424097086e-4,severe_minus_mild,weight_delta
Fibro-NPCs,Fibro-reg NPCs,0.023738314273574097,severe_minus_mild,weight_delta
Fibro-reg NPCs,Fibro-reg NPCs,0.012583207716755076,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Fibro-reg NPCs,-0.002985979059861232,severe_minus_mild,weight_delta
ECM/Adh-NPCs,Hom/Reg-like NPCs,-0.01426192251726554,severe_minus_mild,weight_delta
Hom-NPCs,Hom/Reg-like NPCs,-0.00815290114349837,severe_minus_mild,weight_delta
Eff-NPCs,Hom/Reg-like NPCs,-0.0020447441795464027,severe_minus_mild,weight_delta
Ht-NPCs,Hom/Reg-like NPCs,3.2706959869965814e-4,severe_minus_mild,weight_delta
Fibro-NPCs,Hom/Reg-like NPCs,0.005841256551506337,severe_minus_mild,weight_delta
Fibro-reg NPCs,Hom/Reg-like NPCs,0.0016617552270656848,severe_minus_mild,weight_delta
Hom/Reg-like NPCs,Hom/Reg-like NPCs,-0.02189579591199701,severe_minus_mild,weight_delta
